Quantity,References,Description,Manufacturer,Part Number,Vendor,Vendor Part Number
2,C1 C2,"CAP, SMD 10X10.5, 20%, EC, 50V",Panasonic,EEE-FT1H331GP,Mouser,667-EEE-FT1H331GP
5,C3 C5 C8 C10 C17,"CAP, 0805, 22uf, 20%, X5R, 25V",Taiyo Yuden,TMK212BBJ226MG-TT,Mouser,963-TMK212BBJ226MGTT
2,C4 C9,"CAP, 0603, 3300pF, 5%, X7R, 10V",Vishay,VJ0603Y332JXQPW1BC,Mouser,77-VJ0603Y332JXQPBC
2,C6 C7,"CAP, 0603, 1000pF, 10%, X7R, 10V",Vishay,VJ0603Y102KXAAC31,Mouser,77-VJ0603Y102KXAAC31
7,C11 C12 C13 C14 C15 C21 C22,"CAP, 0603, 0.1uF, 20%, X7R, 10V",Vishay,VJ0603Y104JXQPW1BC,Mouser,77-VJ0603Y104JXQPBC
2,C16 C18,"CAP, 0603, 1uF, 20%, X7R, 10V",TDK,CGB3B1X7R1A105M055AC,Mouser,810-CGB3B1X7R1A105MC
2,C19 C20,"CAP, 0603, 15pF, 5%, C0G, 50V",AVX,06035A150JAT2A,Mouser,581-06035A150J
1,D1,"DIO, PowerDI123, Schottky Rectifier, 30V, 1A",Diodes Inc,DFLS130LQ,Mouser,621-DFLS130L
1,D2,"DIO, DFS, Bridge Diode, 2A, 600V",Comchip Tech,DF206ST-G,Mouser,750-DF206ST-G
3,D3 D4 D5,"TVS, SOT23, ESD TVS Protection, Dual",Texas Instruments,TPD2E2U06QDBZRQ1,Mouser,595-TPD2E2U06QDBZRQ1
1,D6,"TVS, SOT23, ESD Protection, USB",Nexperia,"PRTR5V0U2X,215",Mouser,771-PRTR5V0U2X-T/R
1,D7,"LED, 0603, Yellow LED",Lumex,SML-LX0603SYW-TR,Mouser,696-SML-LX0603SYW
1,D8,"LED, 0603, Green LED",Lumex,696-SMLLX0603SGWTR,Mouser,696-SML-LX0603SGW
1,D9,"LED, 0603, Red LED",Lumex,SML-LX0603SRW-TR,Mouser,696-SML-LX0603SRW
1,D10,"LED, 0603, Blue LED",Lumex,SML-LX0603USBW-TR,Mouser,696-SML-0603USBWTR
2,J1 J2,"CON, THT, Terminal Block, 3.5mm, 2 Pos",Phoenix Contact,1984617,Mouser,651-1984617
2,J3 J8,"CON, THT, Terminal Block, 3.5mm, 3 Pos",Phoenix Contact,1984620,Mouser,651-1984620
1,J4,"CON, THT, Terminal Block, 3.5mm, 6 Pos",Phoenix Contact,1984659,Mouser,651-1984659
1,J5,"CON, THT, Micro USB 2.0 Type AB, Vertical",Wurth Electronics,614105150721,Mouser,710-614105150621
1,J6,"CON, THT, 2.54mm Socket, Single Row, Vertical, 18 Pos",Samtec,SSW-150-01-G-S,Digikey,SAM1209-50-ND
1,J7,"CON, SMD, 1.27mm Header, Dual Row, Vertical, 10 Pos",Amphenol FCI,202112100010C4LF,Mouser,649-202112100010C4LF
2,L1 L2,"BEAD, 1206, 1k@100MHz, 2A",Murata,BLM31KN102SH1L,Mouser,81-BLM31KN102SH1L
1,L3,"BEAD, 0603, 470R@100MHz, 1A",Murata,BLM18PG471SN1D,Mouser,81-BLM18PG471SN1D
7,Q1 Q2 Q5 Q6 Q7 Q8 Q9,"TRANS, SOT23, Mosfet, P-CH, 115mA, 60V",On Semiconductor,2N7002L,Mouser,512-2N7002L
